id_intervencion,fk_id_equipo,fk_id_tipo_novedad,fecha,hora_parada,descripcion;;
"1,1,3,2013-11-18,,""Se le compran los soportes """"Pie de máquina"""" dañados durante el almacenamiento en bodega de CKD. 4 unidades.""";;
2,1,3,2013-11-19,,Se le instala el ducto de salida de aire caliente. Proveedor Laminas y Montajes JR. Tel. 232 87 21.;;
"3,1,5,2014-05-22,,""Se le actualiza el software al Sigma control con la versión más reciente, y se le instala la tarjeta SD de 4Gigas.""";;
"4,1,2,2014-06-03,,""Equipo presenta alarma muy baja secador frigorifico, el equipo aún no trabaja a plena carga";" se ajustan presiones de alta y baja en secador frigorifico y se deja temperatura punto de rocío en 3°C, se realiza prueba operativa, el equipo trabaja normal. HORAS OPERANDO: 251. Horas con carga: 75.""";
"5,1,2,2014-07-11,27 minutos,""Se apaga el equipo, la falla que muestra en el controlador es Avería de motor No. 30003. En los variadores del ASH y bomba de cabinas aparece la falla a la misma hora, según el código de esos equipos la falla se debió a bajo voltaje.""";;
6,1,3,2014-07-12,,Se instala tubería para descargar el agua del condensado al foso de aguas residuales industriales de la Planta Plastico.;;
7,1,2,2014-09-12,20 min,Se presenta falla en compresor. Avería 30003.;;
"8,1,2,2014-10-09,16 min,""Se presenta paro de producción (16 minutos) en planta de Plástico debido a una falla del Compresor """"Motor Compresor FC Avería 30003"""". El momento en que se detectó la falla fue cuando la planta de plásticos se apagó por baja presión de aire. Se solicita revisión técnica por parte de la empresa proveedora del equipo Kaeser.""";;
"9,1,1,2014-10-17,,""PT. No 71285334. Se realiza inspección del compresor, se lubrican rodamientos del motor principal y motor ventilador. Faltan 1118 horas para el mtto. Tipo A. El compresor queda operando normalmente. HORAS de operación 1882, H. con carga 1093. Diego Naranjo Technical Service.""";;
10,1,4,2014-10-24,,La falla 30003 está asociada por SIEMENS a: 1. Line supply failure. 2. Line supply voltage below the permissible value. 3. Line phase interrupted. Se recomienda chequear el voltaje o realizar un análisis del suministro eléctrico a través del tiempo. KAESER COMPRESORES DE COLOMBIA LTDA.;;
"11,1,2,2014-10-30,,""Falla 30003 falla del fluido eléctrico. Se alarma el variador de velocidad del equipo. Para restaurar fue necesario abrir la puerta delantera del compresor, resetear el variador, cerrar la puerta, bajar el breaker de 175A que alimenta el compresor, dejarlo abajo 15 segundos y luego restablecerlo. Para poner en marcha se debe apretar la flecha para poner en descarga, luego el botón de marcha y esperar un minuto antes de poner a cargar.""";;
"12,1,4,2015-01-19,,""Se realiza inspección del compresor, se verifica histórico de fallos y se encuentra falla de sobreintensidad del motor refrigeración aire/aceite. El problema se debe a posibles bajas de voltaje del fluido eléctrico.""";;
"13,1,1,2015-02-19,,""El equipo muestra mensajes para mantenimiento anual: Equipamiento eléctrico, lubricación de cojinetes motor ventilador, lubricación de cojinetes motor compresor, inspección de válvulas, cambio de filtro de aceite, inspección correa acoplamiento.""";;
"14,1,1,2015-02-26,,""Parte de trabajo No. 71401101. Se realiza mtto. Tipo A, se revisa acoplamiento del motor y la unidad compresora, se limpian enfriadores aire-aire y aire-aceite, se lubrican rodamientos del motor principal y motor ventilador, se revisan las válvulas de control y se realiza limpieza general. El compresor queda operando normalmente. HORAS: 3318.""";;
"15,1,2,2015-04-20,,""El compresor muestra """"avería"""" a la 7:24 am presión: 72 psi, 52°C. Se reinicia térmico del motor ventilador de refrigeración, el equipo arranca normal.""";;
"16,1,2,2015-04-23,10 min,""El compresor se encuentra apagado con la siguiente avería: """"0011 As 23.04.15 06:11 AM Ventil. Refrig. Aceite/aire sobreintensidad"""". Se reinicia guardamotor del ventilador de la refrigeración, el compresor arrancó normal.""";;
17,1,4,2015-05-04,,Se solicita la visita a Kaeser para que revisen el equipo.;;
"18,1,1,2015-05-04,,""Se realiza el chequeo al equipo ya que presenta falla 0011 motor ventilador aire-aceite, se revisa circuito motor, se ajustan todos los cables eléctricos a su bornera de conexión, se baja tapa bornera motor y se ajustan todos los bornes, se chequea consumo y se encuentra normal, se deja equipo en operación normal. HORAS: 3842. Informe de servicio No. 7829.""";;
"19,1,2,2015-05-07,,""El compresor muestra """"avería"""" 0011 sobreintensidad a la 5:27 am. Se reinicia térmico del motor ventilador de refrigeración aceite/aire, el equipo arranca normal.""";;
"20,1,2,2015-05-09,30 min,""El Sr. Alejandro Flórez reporta que el quemador del ASH de P.P. Plásticos no encendía. Al observar se nota que el encendido automático estaba suspendido debido a una caída de presión en el aire. Se revisa el compresor y estaba en descarga, se pone en carga y el encendido automático se restableció.""";;
21,1,5,2015-05-10,,Por sugerencia del técnico de KAESER Edisson García se sube la protección del guardamotor a 2.8 Amperios (motor del ventilador aire-aceite).;;
